"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","165","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","When I click on the ""UI Testing"" button in header","When I click on the ""UI Testing"" button in header",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","153","","Error Page: Error page","","Error Page: Error page","When I click on the ""Error"" button in navbar","When I click on the ""Error"" button in navbar",""
"passed","Thu May 06 17:21:55 GMT 2021","Thu May 06 17:21:56 GMT 2021","1499","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","110","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","Then The the url path is ""/""","Then The the url path is ""/""",""
"passed","Thu May 06 17:21:55 GMT 2021","Thu May 06 17:21:56 GMT 2021","1509","","Home Page: Home page","","Home Page: Home page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","3","","Submit Form: Form Page","","Submit Form: Form Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","311","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Jon"" in the input field on the Form page","When I type ""Jon"" in the input field on the Form page",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","11","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","And The active navbar item is ""Form""","And The active navbar item is ""Form""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","7","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","And The Company Logo is visible","And The Company Logo is visible",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","121","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","Then The the url path is ""/""","Then The the url path is ""/""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","14","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","And The active navbar item is ""Home""","And The active navbar item is ""Home""",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","20","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello Emily!"" is visible on the Hello page in header","And The ""Hello Emily!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","210","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Emily""","Then The the url path is ""/hello.html?myName=Emily""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","3","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","122","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","51","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Charlie"" in the input field on the Form page","When I type ""Charlie"" in the input field on the Form page",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","23","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello Charlie!"" is visible on the Hello page in header","And The ""Hello Charlie!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","51","","Submit Form: Form Page","","Submit Form: Form Page","When I type ""Emily"" in the input field on the Form page","When I type ""Emily"" in the input field on the Form page",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","27","","Submit Form: Form Page","","Submit Form: Form Page","And Submit the form on the Form page","And Submit the form on the Form page",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:57 GMT 2021","507","","Error Page: Error page","","Error Page: Error page","Then HTTP interceptor ""navError"" response code is ""404""","Then HTTP interceptor ""navError"" response code is ""404""",""
"passed","Thu May 06 17:22:18 GMT 2021","Thu May 06 17:22:18 GMT 2021","32","","Submit Form: Form Page","","Submit Form: Form Page","Given I am on ""Form"" page","Given I am on ""Form"" page",""
"passed","Thu May 06 17:21:55 GMT 2021","Thu May 06 17:21:56 GMT 2021","1499","","Error Page: Error page","","Error Page: Error page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:21:56 GMT 2021","Thu May 06 17:21:56 GMT 2021","4","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:21:57 GMT 2021","Thu May 06 17:21:57 GMT 2021","3","","Navigation: Navigate to Form Page","","Navigation: Navigate to Form Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:22:07 GMT 2021","Thu May 06 17:22:07 GMT 2021","304","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Sophia""","Then The the url path is ""/hello.html?myName=Sophia""",""
