"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","28","","Home Page: Home page","","Home Page: Home page","And The following text is visible on the Home page in <p> tag:","And The following text is visible on the Home page in <p> tag:",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","23","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello John!"" is visible on the Hello page in header","And The ""Hello John!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","17","","Submit Form: Form Page","","Submit Form: Form Page","And The ""Hello Charlie!"" is visible on the Hello page in header","And The ""Hello Charlie!"" is visible on the Hello page in header",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","217","","Submit Form: Form Page","","Submit Form: Form Page","Then The the url path is ""/hello.html?myName=Sophia""","Then The the url path is ""/hello.html?myName=Sophia""",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","17","","Error Page: Error page","","Error Page: Error page","And 404 page is shown","And 404 page is shown",""
"passed","Thu May 06 17:24:51 GMT 2021","Thu May 06 17:24:51 GMT 2021","6","","Submit Form: Form Page","","Submit Form: Form Page","And The Company Logo is visible","And The Company Logo is visible",""
"passed","Thu May 06 17:24:50 GMT 2021","Thu May 06 17:24:50 GMT 2021","12","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","And The active navbar item is ""Home""","And The active navbar item is ""Home""",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","129","","Navigation: Navigate to Home Page","","Navigation: Navigate to Home Page","Given I am on ""Landing"" page","Given I am on ""Landing"" page",""
"passed","Thu May 06 17:24:51 GMT 2021","Thu May 06 17:24:51 GMT 2021","2","","Submit Form: Form Page","","Submit Form: Form Page","And The window title is ""UI Testing Site""","And The window title is ""UI Testing Site""",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","506","","Error Page: Error page","","Error Page: Error page","Then HTTP interceptor ""navError"" response code is ""404""","Then HTTP interceptor ""navError"" response code is ""404""",""
"passed","Thu May 06 17:24:49 GMT 2021","Thu May 06 17:24:49 GMT 2021","31","","Navigation: Navigate to Landing Page","","Navigation: Navigate to Landing Page","And The Company Logo is visible","And The Company Logo is visible",""
